店舗名,エリア,住所1,住所2,電話番号,GoogleマップURL,参加店舗
酒盛りあいなる,大阪市西区,大阪府大阪市西区土佐堀2丁目3−23,板東ビル,06-6444-4177,https://www.google.com/maps/search/酒盛りあいなる+大阪府大阪市西区土佐堀２丁目３−２３,
あるべろ,大阪市西区,大阪府大阪市西区江之子島1-6-2,奥内第8ビル B1F,不明,https://www.google.com/maps/search/あるべろ+大阪府大阪市西区江之子島1-6-2,
ゆにゆも,大阪市北区,大阪府大阪市北区天神橋1丁目10−1,,050-3033-0777,https://www.google.com/maps/search/ゆにゆも+大阪府大阪市北区天神橋１丁目１０−１,
にこみたび,大阪市福島区,大阪府大阪市福島区吉野2丁目11−15,,080-3827-5253,https://www.google.com/maps/search/にこみたび+大阪府大阪市福島区吉野２丁目１１−１５,
靱本町がく,大阪市西区,大阪府大阪市西区靱本町1丁目14−15,本町クイーバービル,06-6479-3459,https://www.google.com/maps/search/靱本町がく+大阪府大阪市西区靱本町１丁目１４−１５,
かわ原,大阪市北区,大阪府大阪市北区豊崎2丁目4−21,,06-6131-4668,https://www.google.com/maps/search/かわ原+大阪府大阪市北区豊崎２丁目４−２１,
旨い肴と酒ふるさと,吹田市,阪府吹田市江坂町1丁目22−10,梓ビル 1E,06-6155-8462,https://www.google.com/maps/search/旨い肴と酒ふるさと+阪府吹田市江坂町１丁目２２−１０,
日本酒こころのバー,堺市,大阪府堺市北区中百舌鳥町5丁795,東口BLD A棟 101号室,070-8989-8008,https://www.google.com/maps/search/日本酒こころのバー+大阪府堺市北区中百舌鳥町５丁７９５,
燻製×日本酒 OZ家,大阪市天王寺区,大阪府大阪市天王寺区上汐3丁目7−8,サンシャイン上汐 1F,06-6777-5526,https://www.google.com/maps/search/燻製×日本酒+OZ家+大阪府大阪市天王寺区上汐３丁目７−８,
北加賀屋 ピカ,大阪市住之江区,大阪府大阪市住之江区西加賀屋1丁目1−34,メゾンカステラ 1F,不明,https://www.google.com/maps/search/北加賀屋+ピカ+大阪府大阪市住之江区西加賀屋１丁目１−３４,
日本酒Laboまつもと,堺市,大阪府堺市堺区中瓦町2丁2−6,,072-275-7764,https://www.google.com/maps/search/日本酒Laboまつもと+大阪府堺市堺区中瓦町２丁２−６,
焼き鳥 THE炭ーズ,大阪市西区,大阪府大阪市西区九条1丁目17−4,1F,080-3507-4312,https://www.google.com/maps/search/焼き鳥+THE炭ーズ+大阪府大阪市西区九条１丁目１７−４,
すえひろ,大阪市北区,大阪府大阪市北区芝田2丁目2−8,幸福相互ビル,06-6373-1714,https://www.google.com/maps/search/すえひろ+大阪府大阪市北区芝田２丁目２−８,
ミートディッシュ,大阪市中央区,大阪府大阪市中央区本町4丁目7−8,加地ビル 1f,06-6266-6006,https://www.google.com/maps/search/ミートディッシュ+大阪府大阪市中央区本町４丁目７−８,
寿司、肴、日本酒、しんなり,吹田市,大阪府吹田市元町19−5,,06-6382-1812,https://www.google.com/maps/search/寿司、肴、日本酒、しんなり+大阪府吹田市元町１９−５,
千なり,大阪市北区,大阪府大阪市北区曾根崎新地１丁目２−２４, ニューウメダビル ３F,06-6341-0290,https://maps.app.goo.gl/AcMi4VU8qmfJg8vx9,
深井中野酒本店,堺市,大阪府堺市中区深井中町１８９９−４,,072-278-0465,https://maps.app.goo.gl/TPy3czrtZTvrgJZd8,
日本酒と料理 くろ川,大阪市北区,大阪府大阪市北区曾根崎新地1-10-22 ,ミヤプラザ 8F,06-4300-6722,https://maps.app.goo.gl/QVLP4EDbJrDGdGL97,
日本酒うなぎだに,大阪市中央区,大阪府大阪市中央区心斎橋筋１丁目３−２８ ,大喜ビル 1階,06-4963-2547,https://maps.app.goo.gl/ZHoQ8yGmoYX8m1uh8,
焼鳥　八功堂,大阪市北区,大阪府大阪市北区中崎１丁目５−１３,,06-7708-7354,https://maps.app.goo.gl/UUzSbKWN8zDK45jH6,
酒や肴 よしむら,大阪市北区,大阪府大阪市北区天神橋1-13-21 ,ノモス天神 1F,06-6353-4460,https://maps.app.goo.gl/LtxC5gNkfCznc1m5A,
まぶらい,大阪市城東区,大阪府大阪市城東区野江４丁目１４−４ ,２階, 06-6924-9160,https://maps.app.goo.gl/zmYe2z5kTEysxiHu6,
炭や吟蔵,大阪市都島区,大阪府大阪市都島区都島区東野田町４丁目９−８,,06-6351-8089,https://maps.app.goo.gl/cEjupH7zrXPMdpS27,
おでんとお酒 Tosui,大阪市北区,大阪府大阪市北区本庄西１丁目９−４,,070-1373-0194,https://maps.app.goo.gl/pGeKFUdGwdjf3pVq9,
雷市,大阪市都島区,大阪府大阪市都島区東野田町３丁目１２−１０,,06-6809-5773,https://maps.app.goo.gl/aiq7ti877ZqSDuENA,
てっぺん,大阪市北区,大阪府大阪市北区本庄西1-6-26, 1F,不明,https://maps.app.goo.gl/Ts4nfBqiiGDE46Es6,
ちろりん,大阪市北区,大阪府大阪市北区浪花町4-17,,不明,https://maps.app.goo.gl/M9UAFzQYRD5YEyhn7,
食事処 勇,大阪市北区,大阪府大阪市北区大淀中３丁目１３−１ ,アクア西梅田 1F,06-4300-6990,https://maps.app.goo.gl/TobqmBi2i45scVKW9,
食堂まっすぐ,大阪市中央区,大阪府大阪市中央区心斎橋筋２丁目７−１１ ,1階,不明,https://maps.app.goo.gl/5cbUv3s6xkXd1Gu49,
和食とお酒 雅,大阪市中央区,大阪府大阪市中央区東心斎橋１丁目１４−２３ ,住吉ビル 2F,06-6244-2244,https://maps.app.goo.gl/DEPmJo1z91pV7uM98,
うまいサケうまいアテ サツマヤ,大阪市中央区,大阪府大阪市中央区久太郎町４丁目２−１４ ,御堂ビル 1F,06-6243-0006,https://maps.app.goo.gl/LyBK6RoEsWs9tyk19,
群醸日和,大阪市北区,大阪府大阪市北区天神橋６丁目２−１５ ,幸福ビル天六 １０３,050-5488-8302,https://maps.app.goo.gl/KEU3zjZBhrauXN9d7,
かんちゃん,大阪市北区,大阪府大阪市北区池田町１−３１ ,サニーハイツ天満 1F,06-6356-1560,https://maps.app.goo.gl/T2SHksscod4tTDHH8,
しんちゃん食堂,大阪市鶴見区,大阪府大阪市鶴見区横堤１丁目１１−１２６,,080-3806-1598,https://maps.app.goo.gl/gzkftoNKHPpgs9CeA,
酒菜とうどん、鈍燗,吹田市,大阪府吹田市江の木町１５−５,ライブステーション江坂 1F,06-6170-5806,https://maps.app.goo.gl/QHhjFCiaQK1v2Pf4A,
生島商店,吹田市,大阪府吹田市内本町３丁目３４−２,,06-6381-0458,https://maps.app.goo.gl/RysjLj9LcmJhYtjSA,
旬彩 壱,吹田市,大阪府吹田市内本町３丁目１−９,,070-2320-1110,https://maps.app.goo.gl/3ZJquZgtAnsh2LXk8,
器酒亭,吹田市,大阪府吹田市山手町２丁目７−７,ドミニオン豊津Ⅱ 101,06-6319-9839,https://maps.app.goo.gl/PXNzDYAfidyNRMwP9,
日本酒かんき,大阪市北区,大阪府大阪市北区梅田１丁目１−３,,06-4798-7225,https://maps.app.goo.gl/SEjfSsaoPu4oo8bB7,
路地裏アバンギャルド,大阪市福島区,大阪府大阪市福島区福島５丁目６−３,,06-6147-7840,https://maps.app.goo.gl/LP3fSTAtz65VKpCm7,
大阪焼トンセンター,大阪市中央区,大阪府大阪市中央区難波千日前３−１９,,06-4396-8109,https://maps.app.goo.gl/K5wJRV6DaUawP7Td6,
お料理しん乃,大阪市北区,大阪府大阪市北区浪花町１０−３,,06-7506-1388,https://maps.app.goo.gl/P6S8qvbNeg8rSjJu8,
あずき色のマーカス,大阪市北区,大阪府大阪市北区天神橋４丁目１２−１１,,不明,https://maps.app.goo.gl/BpSKjWyi3msYZkhd9,
ジャックとマチルダ,大阪市福島区,大阪府大阪市福島区福島5-6-8,,不明,https://maps.app.goo.gl/w1eeRmCwrhjdr9GJA,
井上酒店,大阪市福島区,大阪府大阪市福島区福島７丁目５−１１,,06-6458-2788,https://maps.app.goo.gl/2Zf4Wnu75onvgaQCA,
朝な夕な,大阪市福島区,大阪府大阪市福島区福島６丁目２２−１１,トキワマンション,06-7182-3446,https://maps.app.goo.gl/4q9hma3ueo4s1wXg8,
豚と鴨 おじさんと日本酒,大阪市西区,大阪府大阪市西区京町堀１丁目９−１０,,06-6444-7007,https://maps.app.goo.gl/g2Zqo5mfnC6Livyf7,
お湯,京都府,京都府京都市下京区河原町通松原上る清水町２８２,,080-4242-3429,https://maps.app.goo.gl/zx3x7qNNb5B4JvMY7,
酒とつまみ 蓮,京都府,京都府京都市左京区田中下柳町8ｰ12,,075-752-6251,https://maps.app.goo.gl/eFPhUiHFQiXqcPgAA,
日本酒とおばんざい 新奈,奈良県,奈良県奈良市東向北町６,,080-2408-4801,https://maps.app.goo.gl/QA19zvE9o2h2iEKp6,
山中酒の店 本店,大阪市浪速区,大阪府大阪市浪速区敷津西１丁目１０−１９,,06-6631-3959,https://maps.app.goo.gl/yBxuhGaEL5LsPcQ4A,
山中酒の店 エキマルシェ店,大阪市北区,大阪府大阪市北区梅田３丁目１,,06-6348-3955,https://maps.app.goo.gl/Deqd65UxPTeXNKFq8,
こめとはな,大阪市阿倍野区,大阪府大阪市阿倍野区阪南町１丁目５０−２３,,06-7182-1309,https://maps.app.goo.gl/2FZRp5TRbDJdriQv9,
ベニヤンマ,京都府,京都府京都市伏見区西柳町７３−６,,090-7925-9633,https://maps.app.goo.gl/SioURCFjqJTGBuf36,
にほん酒、まえ畑,和歌山県,和歌山県和歌山市十一番丁２０,マルサビル １階,080-1501-5527,https://maps.app.goo.gl/i7o8utfTVbDqivGG7,
日本酒と肴 くら美,堺市,大阪府堺市堺区竜神橋町１丁６−４,,070-7485-0322,https://maps.app.goo.gl/pYPsdhyQYTPqhGs58,
日本酒食堂so-ken,大阪市北区,大阪府大阪市北区中津３丁目５−５,,06-4256-8243,https://maps.app.goo.gl/U2wwx4z9B7aoCXHv6,
スタンド翔矢,大阪市中央区,阪府大阪市中央区平野町２丁目２−６,船場平野小路,不明,https://maps.app.goo.gl/XfKeeL9yXJD5NsFn8,
スタンドエイジ,大阪市福島区,大阪府大阪市福島区鷺洲２丁目１５−３２,,06-4256-8774,https://maps.app.goo.gl/i5BjLToejRw1UuAp9,
日本酒バー ひとつなぎ。,大阪市住吉区,大阪府大阪市住吉区我孫子東２丁目４−２４,,06-6657-7754,https://maps.app.goo.gl/EhL2dBqEomrqUQ7e6,
ラ・マンミーナ,大阪市都島区,大阪府大阪市都島区都島本通３丁目２３−６,都島犬飼ビル 犬飼ビル 1F,06-6925-3833,https://maps.app.goo.gl/bbzbNXzGXnExNAWw6,
賽,大阪市西区,大阪府大阪市西区阿波座１丁目１５−１９,エイトハウス 1F,06-6760-4182,https://maps.app.goo.gl/3p6R9wr8NmTcXPmx5,
小料理 Sumire,大阪市中央区,大阪府大阪市中央区農人橋２丁目４−３,1階,080-3201-8178,https://maps.app.goo.gl/pk3yynNuqPE9Defp8,
蔵酒の明治屋,大阪市淀川区,大阪府大阪市淀川区十三本町１丁目２１−７,,06-6301-5765,https://maps.app.goo.gl/PHXUZtkZvwrUXeE67,
台所ソラマメ東村,大阪市北区,大阪府大阪市北区同心２丁目３−９,クイーンレジデンス 1F,050-5594-6058,https://maps.app.goo.gl/gcTLGRAMZZQnXh9Z9,
酒菜舎 虎純,大阪市中央区,大阪府大阪市中央区心斎橋筋２丁目７−１１,Nippo ロイヤルビル 1階,06-4963-3232,https://maps.app.goo.gl/d7GeVd2yGpEbDGWCA,
ニュー日本酒うさぎ,大阪市中央区,大阪府大阪市中央区北浜２丁目３−１５,忠兵衛北浜ビル8階,090-1679-9977,https://maps.app.goo.gl/XmEhkiGBmF5iRB9P8,
日本酒うさぎ,大阪市中央区,大阪府大阪市中央区船場中央１丁目３,船場センタービル ２号館Ｂ２５２,06-6271-3369,https://maps.app.goo.gl/pc6aDYqZCfSyrCqq9,
エーストア,大阪市中央区,大阪府大阪市中央区千日前２丁目７−８,,080-2484-3935,https://maps.app.goo.gl/G1AG22qUXVK7x6Sf8,
だいどこなか,大阪市福島区,大阪府大阪市福島区福島７丁目７−７,永井ビル 1階,06-7651-7275,https://maps.app.goo.gl/qTDDTuCnP853m51L8,
日本酒 福,大阪市北区,大阪府大阪市北区天満４丁目１６−５,あんじんビル,06-6809-3145,https://maps.app.goo.gl/HuaUZDxJJeYcg72B7,
チルコロはなれ,大阪市北区,大阪府大阪市北区西天満１丁目１３−１８,,090-1718-6758,https://maps.app.goo.gl/NL1gSYNWNhs874gk9,
地酒とお料理 耕雲,大阪市北区,大阪府大阪市北区池田町６−１２,,06-6351-1555,https://maps.app.goo.gl/ix6qxmZWQySAtqpc7,
sakaba雑波,大阪市中央区,大阪府大阪市中央区淡路町２丁目４−４,,080-9749-3838,https://maps.app.goo.gl/DHJ9jQrxwMZvSacX6,
ウラロバタ,大阪市中央区,大阪府大阪市中央区高麗橋１丁目２−４,高麗橋土橋ビル,06-6227-8777,https://maps.app.goo.gl/wYEHR9vDmekSjn9R9,
スタンドジャポニカ,大阪市中央区,大阪府大阪市中央区南本町４丁目１−１,B1,06-4708-8025,https://maps.app.goo.gl/aXG2Suf4iqjs2HqJ6,
Shienn（しえん）,大阪市阿倍野区,大阪府大阪市阿倍野区昭和町１丁目２−１９,ウィンベル昭和 町 1F,06-7652-4361,https://maps.app.goo.gl/GWt1caRsfE8wHacS7,
ヨコボリ,大阪市中央区,大阪府大阪市中央区東高麗橋５−３,高麗橋双葉ビル 1F,不明,https://maps.app.goo.gl/Tr2G2iGYMYJ9KcWm8,
APE BREWING,大阪市中央区,大阪府大阪市中央区瓦町２丁目１−１５,瓦町大都ビル １F,06-7661-9443,https://maps.app.goo.gl/M8Au9sq8SVuVQzEA6,
ごはんとお酒と布と糸fudan,大阪市東住吉区,大阪府大阪市東住吉区山坂２丁目１０−３,,06-6629-1570,https://maps.app.goo.gl/nz29XkANNLJcR8G99,
まえだ家,大阪市中央区,大阪府大阪市中央区東心斎橋１丁目１２−１９,エイト ビルヂング B1F,06-4256-4200,https://maps.app.goo.gl/r74fvHHUL9YAGdDr8,
町場。だがし、スタンド『ヒダリマキ』,大阪市生野区,大阪府大阪市生野区生野西４丁目１３−３,,080-3845-3760,https://maps.app.goo.gl/PD3FeguTrRwSupx76,
サケとスミビとロシュタン,大阪市浪速区,大阪府大阪市浪速区元町１丁目４−１３,,06-6585-7499,https://maps.app.goo.gl/QFA9nWp8uVUzFb4x9,
賢人,大阪市北区,大阪府大阪市北区梅田１丁目３−１,大阪駅前第一ビル B1F,06-6225-7834,https://maps.app.goo.gl/8qf4yUdfxPfwuu1k9,
地魚と天ぷらうろこ屋,大阪市中央区,大阪府大阪市中央区東心斎橋２丁目６−１３,,06-4708-8258,https://maps.app.goo.gl/8gXy7VR1NowfWziN6,
マキショウ,大阪市中央区,大阪府大阪市中央区谷町７丁目１−２４ ,リップルカフェ,06-7410-2770,https://maps.app.goo.gl/gERotuZxe48G4z787,
日本酒とオカン 酒ナックめぐみ,大阪市中央区,大阪府大阪市中央区内本町２丁目３−８,ダイアパレスビル本町 105,070-2324-4684,https://maps.app.goo.gl/sTen6LKB6FkNCHL5A,
割烹 八彩,大阪市淀川区,大阪府大阪市淀川区宮原２丁目１３−１,サンパレス新大阪,06-6152-7665,https://maps.app.goo.gl/LNJnvdmhdbwnpNzp6,
楠木フサエ おもや,大阪市北区,大阪府大阪市北区梅田１丁目１−３,大阪駅前第3ビル B1,050-5485-6936,https://maps.app.goo.gl/rDykzPBriVEDc8xE9,
楠木フサエ 本店,大阪市北区,大阪府大阪市北区梅田１丁目１−３,大阪駅前第2ビル B1,06-6344-2711,https://maps.app.goo.gl/HLCHVnU3ZLzEFqc28,
立ち喰い寿司 ゲンヤ倶楽部,大阪市淀川区,大阪府大阪市淀川区十三東３丁目２８−４,,不明,https://maps.app.goo.gl/SgwpH9weq4Z2pL1e7,
酒蔵なかやま,大阪市北区,大阪府大阪市北区本庄東２丁目１５−２,,06-6371-0145,https://maps.app.goo.gl/mc6U9bvjTLDQzjXc8,
杉本商店,大阪市都島区,大阪府大阪市都島区内代町３丁目２−４,,06-6951-2145,https://maps.app.goo.gl/Pvnint4sQnRcSrtQ6,
十徳日本酒販売所,吹田市,大阪府吹田市千里山西４丁目３９,千里山ロイヤルマンション二番街 B1F,06-6310-2211,https://maps.app.goo.gl/BKzkeYg2T9KLm68Z8,
やきとりおかげ,豊中市,大阪府豊中市北桜塚１丁目２−３,,06-6846-3851,https://maps.app.goo.gl/6Mj9SxYb8JETwuzU8,
和食とお酒 蒼,大阪市北区,大阪府大阪市北区中津３丁目１５−１４,,06-7502-2713,https://maps.app.goo.gl/JtxXnt31jEYzzWg87,◯
青二才,東京都,東京都中野区中野３丁目３５−７,松井ビル １Ｆ,03-5340-1231,https://maps.app.goo.gl/1qqAWwXmeCyLcXQx7,◯
炭火焼とり えんや,八尾市,大阪府八尾市光町２−１８０,ペントモール 5番街,072-992-8794,https://maps.app.goo.gl/qHjC3rcG6KGw9Xov9,◯
ハナレノミカジノバ,大阪市中央区,大阪府大阪市中央区備後町３丁目１−２,アトラスビル 1F 日 宝,06-6232-7977,https://maps.app.goo.gl/VnRqFqxh5gUvHpbh7,◯
穂波町 和豊,吹田市,大阪府吹田市穂波町３−２１,,06-6170-8991,https://maps.app.goo.gl/gqWDTjuJh3RxPu1Z6,◯
焼き鳥 クカバラ,大阪市北区,大阪府大阪市北区山崎町１−１２,ラピタ扇町 1F,06-6311-7888,https://maps.app.goo.gl/hDtp3p8Jd6hWjp419,◯
紀の国屋くっす～,大阪市都島区,大阪府大阪市都島区都島本通３丁目２２−１７,,06-6922-1776,https://maps.app.goo.gl/bgxnTmyLy7Rn17346,◯
穀雨,大阪市北区,大阪府大阪市北区西天満１丁目１３−８,ＴＳビル ２Ｆ,080-9015-8747,https://maps.app.goo.gl/ATfEb2oWcQbCKdzY8,◯
ふらり酔処 酒場感,沖縄県,沖縄県那覇市古島１丁目２３−２,譜久原ビル 一階,098-882-1339,https://maps.app.goo.gl/kRcQ1Hy2rRBb5jEK7,◯
にほんしゅ屋しゅうろく,京都府,京都府京都市下京区石不動之町６８２−３,もみじ小路H 7,075-366-4606,https://maps.app.goo.gl/bUu9YJF6YztCaukC6,◯
炭焼尚店,八尾市,大阪府八尾市北本町１丁目３−２,,072-998-5080,https://maps.app.goo.gl/wR6NqAAnnXRFrdZD9,◯
炭火と酒 千本鶏,兵庫県,兵庫県西宮市甲風園１丁目４−１５,2F,0798-66-5355,https://maps.app.goo.gl/covTQqpCNH5Md3KY6,◯
菜々竈,大阪市西区,大阪府大阪市西区立売堀４丁目４−２３,2F,06-6556-9585,https://maps.app.goo.gl/tKeFS5Kb1B2UAjyJ9,◯
ご馳走 ね音,大阪市北区,大阪府大阪市北区天神橋５丁目３−２２,安田ビル 2階,06-6882-5512,https://maps.app.goo.gl/6qxxKZCWZesYCAb79,◯
和 藤もと,大阪市北区,大阪府大阪市北区豊崎３丁目-６-１１,エイトビル 1F,06-6131-9710,https://maps.app.goo.gl/ntdCkwNnAJz8Kos38,◯
おでん まる米,大阪市西成区,大阪府大阪市西成区花園南２丁目７−３０,天下茶屋駅前ビル 101,06-6659-0222,https://maps.app.goo.gl/e9326HbLhwkCB4VX7,◯
ritmicita,大阪市中央区,大阪府大阪市中央区安堂寺町２丁目１−１４,,06-4392-7771,https://maps.app.goo.gl/2QxtnSC34BwqQfzbA,◯
心斎橋 和っか,大阪市中央区,大阪府大阪市中央区心斎橋筋１丁目３−１０,,050-5485-7044,https://maps.app.goo.gl/Mdzkz7BF2PDVeJJh6,◯
魚とごはん にこ,大阪市住之江区,大阪府大阪市住之江区安立４丁目１−２２,グランパシフィック我孫子道 1F,050-6877-6121,https://maps.app.goo.gl/hqnPLAV1A2v9Zbtt7,
酒のはしもと,千葉,千葉県船橋市習志野台４丁目７−１１,,047-466-5732,https://maps.app.goo.gl/E38qnTNyK7isv8zXA,
炭や酒 學,東大阪市,大阪府東大阪市昭和町２−１４,サンライフ瓢箪山 1A,050-5592-8324,https://maps.app.goo.gl/9nNStstXbcMx95B76,
TOBI SHOP,大阪市北区,大阪府大阪市北区梅田３丁目２−２,KITTE大阪１F 103,070-5042-2207,https://maps.app.goo.gl/Y1qcgS3o5gqi2Bt7A,
まちの地酒店 酒幸仁,大阪狭山市,大阪府大阪狭山市池尻中２丁目９−２１,メゾン成 和 敷地内,072-289-8783,https://maps.app.goo.gl/Km5XStw9A6rgsCVP9,
SiZUK-サケノシズク,京都府,京都府京都市下京区西境町１６２,,075-748-1062,https://maps.app.goo.gl/zGXk9QNz25C5cmu56,
京都捏製作所,京都府,京都府京都市中京区麩屋町通二条下る尾張町２２５,第二ふや町ビル １F,075-213-1280,https://maps.app.goo.gl/ykJpWkWxCkr27pRy8,
日本酒Bar 嗜,堺市,大阪府堺市堺区中瓦町２−２,16THビル 1F,050-8883-8154,https://maps.app.goo.gl/P6ZuVWDfyaLs6kH97,
お酒と和彩 SAKU,大阪市北区,大阪府大阪市北区堂島1-5-35 ,日宝堂島レジャービル 1F,06-6450-8338,https://maps.app.goo.gl/7Z1CvBn4ahQTtEHu9,
SAKE BAR CHOCO CHOCO,大阪市浪速区,大阪府大阪市浪速区敷津東１丁目５−３,ディオコーポなんば 1F,06-7651-5373,https://maps.app.goo.gl/juVC83E1d9To3SAt6,
炭屋 山,大阪市西成区,大阪府大阪市西成区天下茶屋３丁目１９−１,,06-6690-0813,https://maps.app.goo.gl/TYtAepz52iA4GH559,
旬肴料理人裕,大阪市中央区,大阪府大阪市中央区道頓堀１丁目１−９,豊栄ビル B1F,06-6226-8553,https://maps.app.goo.gl/sdynpjNViTJinuGv9,
ちどり小皿店,大阪市都島区,大阪府大阪市都島区中野町4-17-5,,080-8075-8223,https://maps.app.goo.gl/SHUDpXXMYmaFqd1Z9,
宵酒肴 みをつくし,大阪市西区,大阪府大阪市西区西本町1-14-2,住吉ビル2F,06-6536-8390,https://maps.app.goo.gl/K52CZvZjBrEoibq5A,
きりもと酒店,豊中市,大阪府豊中市服部西町２丁目１−３,,06-6862-7398,https://maps.app.goo.gl/isEnbQtRavvryYHM9,
