委託店舗名,地域,住所,電話番号,委託チケット枚数,委託元
ベニヤンマ,京都府,京都府京都市伏見区西柳町７３−６,090-7925-9633,10,木になる酒店
燕堂,東住吉区,大阪市東住吉区田辺４丁目８−８,06-6606-8516,10,木になる酒店
酒とつまみ蓮,京都府,京都府京都市左京区田中下柳町8ｰ12-2F,075-752-6251,10,木になる酒店
魚とごはん にこ,住之江区,大阪府大阪市住之江区安立4-1-22 グランパシフィック我孫子道 1F,050-6877-6121,10,菜々竈
立呑処 拓,堺市,大阪府堺市西区鳳東町1-62-1,072-368-5669,3,菜々竈
北加賀屋　ピカ,住之江区,大阪府大阪市住之江区西加賀屋1-1-34,不明,5,菜々竈
中今,北区,大阪市北区天神橋1-18-1藤田ビル101,070-7785-7510,10,スタンドうつつよ
酒さんぽ道　ちろり庵,平野区,大阪市平野区平野西6-7-34,090-9712-5539,5,いなごや酒店
SAKE Bar CHOCOCHOCO,浪速区,大阪市浪速区敷津東1-5-3  ディオコーポなんば 1F,070-1806-5056,25,いなごや酒店
龍乃すみか,北区,大阪市北区曽根崎新地1-8-4 永楽 渡邉ビル 3F,06-6940-6606,10,和　藤もと
正杜屋,浪速区,大阪市浪速区湊町1-1-36 2階,050-3593-3076,20,いなごや酒店
出汁と小皿イタリアン  アドマニ,西区,大阪市西区江戸堀３丁目６−３４,06-6131-4012,10,炭や酒  學
JAZZ BERRY,西区,大阪市西区北堀江１丁目９−１８ ベルヴォーグ北堀江 102,090-7754-0003,10,炭や酒  學
焼とんyaたゆたゆ中津店,北区,大阪市北区中津３丁目４−２５,06-6147-6810,10,炭や酒  學
龍ノ蔵　上新庄,東淀川区,大阪市東淀川区瑞光１丁目５−１ アベニュー・マエダ １F,06-7165-5684,15,
発酵と味噌と麺 みつか坊主,豊中市,豊中市螢池東町１丁目６−５ 空港センタービル ２階,06-6850-3532,10,十徳日本酒販売所
八尾　実の花,八尾市,八尾市安中町３丁目５−１０,072-922-3087,10,和っか
路地裏酒場　ちょこっと,淀川区,大阪市淀川区十三本町１丁目２１−２７ ニューエコーマンション 1F,070-8997-1201,10,いなごや酒店
日本酒ポニーテール,北区,大阪市北区天神橋３丁目８−５,06-6450-5330,10,酒蔵なかやま
